# index, meta, _pos
160,minou,"array([-21.62440681,  84.84682558])"
161,abraham,"array([-30.45242734,  33.93694887])"
162,gord,"array([-22.85757117,  39.07586604])"
163,Drue,"array([-49.05068302,  61.06312333])"
164,Bram,"array([-40.66437045,  43.61583727])"
165,splork,"array([-37.32260948,  45.01627324])"
166,Zooko,"array([-41.01749513,  47.3106195 ])"
167,orasis,"array([-59.14126992,  47.5105556 ])"
168,AlthA,"array([-12.76078867,  43.29215918])"
169,macdome,"array([ 6.86067367, 27.37325295])"
170,Darin,"array([-22.69198292,  36.30069218])"
171,mjs,"array([-24.09307725,  40.06253928])"
172,lypanov,"array([-24.13310005,  25.03024904])"
173,andersca,"array([-21.65067039,  29.37008359])"
174,esr,"array([-24.9681917 ,  39.90588116])"
175,bengoodger,"array([-20.79856205,  60.20971727])"
176,kevinvv,"array([-33.73536585,  59.27256488])"
177,landonf,"array([-32.86205233,  50.64307582])"
178,felipe,"array([ 201.5846944 , -292.57520299])"
179,Wolf,"array([-67.29620786,  53.42585579])"
180,niceguyeddie,"array([-52.99116764,  42.33488411])"
181,Rabbitt,"array([-48.11862868,  45.02584021])"
182,easino,"array([-61.4302065,  49.0299181])"
183,Payne,"array([-79.47839771,   7.73291253])"
184,izham,"array([-56.88512913,  25.08791086])"
185,zeenix,"array([-39.96124153,  13.39883688])"
186,nutella,"array([-40.3852502 ,  44.38516736])"
187,zhaoway,"array([-39.81045629,  36.18163671])"
188,mx,"array([-48.09764989,  39.38420422])"
189,iand,"array([-47.31946058,  56.58972938])"
190,jmason,"array([-28.06333742,  46.65264829])"
191,mallum,"array([-47.00619478,  33.69478269])"
192,simonstl,"array([-42.07682243,  43.63498856])"
193,aaronsw,"array([-39.5284659 ,  46.63202598])"
194,zbir,"array([-31.28530985,  60.04101132])"
195,mml,"array([-27.27708441,  56.63016972])"
196,cdent,"array([-28.7466129 ,  50.51520546])"
197,squiggy,"array([-33.28553589,  56.25303145])"
198,suso,"array([-30.43258948,  46.52393607])"
199,ahosey,"array([-29.13912827,  55.00790182])"
200,esinclai,"array([-27.56453665,  73.22429834])"
201,cannam,"array([-32.23952343,  33.56490376])"
202,eknuth,"array([-32.04258245,  56.2282291 ])"
203,jjw,"array([-28.75161695,  68.16376091])"
204,jlf,"array([-29.32583527,  54.11079548])"
205,bmastenbrook,"array([-44.42126819,  46.11278963])"
206,crhodes,"array([-41.46338026,  35.41531713])"
207,water,"array([-47.48303881,  41.28632137])"
208,dan,"array([-29.23225923,  39.01526309])"
209,wnewman,"array([-43.85398599,  44.2800304 ])"
210,tbmoore,"array([-43.83510264,  43.04679801])"
211,Leimy,"array([-50.53811918,  36.87526875])"
212,pfdietz,"array([-41.80039576,  65.3731433 ])"
213,nymia,"array([-37.87496426,  43.63230571])"
214,kroah,"array([-26.96230067,  39.27984988])"
215,govert,"array([-51.39501231,  72.88178675])"
216,cyrus,"array([-35.88996609,  54.58356068])"
217,Frostola,"array([-45.05079707,  71.75018766])"
218,Gregoyle,"array([-42.77543653,  61.39665052])"
219,Rika,"array([-39.62446675,  73.07529189])"
220,infodragon,"array([-31.52130574,  41.00843838])"
221,jleader,"array([-43.8811665 ,  61.06118485])"
222,larke,"array([-42.75983087,  55.87620184])"
223,jameson,"array([-27.5812152 ,  31.18598422])"
224,miniver,"array([-30.06920391,  58.43487229])"
225,volsung,"array([-17.62465906,  57.21045623])"
226,matt,"array([-39.42062795,  42.94602568])"
227,Malkuse,"array([-34.60961991,  67.19418269])"
228,pemdas,"array([-17.09121511,  50.85072095])"
229,tetron,"array([-23.77413209,  39.24175012])"
230,Blacky,"array([-32.10007571,  48.3156534 ])"
231,nixnut,"array([-27.8114852 ,  42.25622884])"
232,const,"array([-34.99250354,  40.44560394])"
233,hypatia,"array([-35.33457671,  38.59374332])"
234,jonathon,"array([-47.88368076,  55.15189247])"
235,maphew,"array([-18.04695201,  65.79843135])"
236,sergent,"array([-31.90517626,  65.96459748])"
237,pedro,"array([-34.93406671,  48.04927944])"
238,pnkfelix,"array([-33.86492085,  29.80554428])"
239,apgarcia,"array([-30.87530558,  40.02905643])"
240,zachlipton,"array([-29.06599249,  43.46065415])"
241,jono,"array([-32.53693798,  34.34163467])"
242,renster,"array([-45.10393685,  49.79757126])"
243,nipper,"array([-31.53012408,  67.37775947])"
244,GJF,"array([-34.98060255,  41.23409738])"
245,ebizo,"array([-30.21400294,  39.37881769])"
246,extremely,"array([-46.96210872,  58.11649646])"
247,wwwwolf,"array([-21.88356468,  28.73467232])"
248,matman,"array([-60.34077754,  71.16735537])"
249,ravskel,"array([-43.38928611,  51.29663581])"
250,Johnath,"array([-29.92504566,  43.42917967])"
251,orlando,"array([-40.85792638,  54.49478608])"
252,mattk,"array([-62.02089255,  70.2087624 ])"
253,backtick,"array([-45.60243212,  59.59135925])"
254,mikeszcz,"array([-27.18746674,  41.09793054])"
255,wen,"array([-40.50486454,  61.32190097])"
256,JoshO,"array([-31.0411491 ,  55.81661545])"
257,dirtyrat,"array([-35.73699122,  41.47861412])"
258,semaj,"array([-40.59274542,  62.72711107])"
259,fxtech,"array([-54.80034701,  38.38515025])"
260,mirwin,"array([-39.91704184,  25.6164475 ])"
261,sune,"array([-41.68329911,  62.42901325])"
262,maelstorm,"array([-30.54794535,  42.52000597])"
263,slide,"array([-49.85897628,  65.24867415])"
264,sej,"array([-38.97402392,  42.26168211])"
265,kailden,"array([ 212.41537952, -238.9978751 ])"
266,tschwall,"array([-26.67693879,  24.75344363])"
267,echuck,"array([-30.11712097,  18.94551632])"
268,tripp,"array([-36.95473273,  21.18607403])"
269,gtalvola,"array([-24.95480314,  -0.20876251])"
270,uweo,"array([-34.40492687,  43.56890008])"
271,mengel,"array([-11.64922325,  23.09184608])"
272,lars,"array([-27.84096244,  45.92926675])"
273,jtauber,"array([-41.02969516,  45.97942146])"
274,montdidier,"array([-66.57103781,  47.83844892])"
275,Svartalf,"array([-36.5965573 ,  44.74045819])"
276,Stab,"array([-33.26250932,  48.84205729])"
277,hackle,"array([-20.46189644,  52.64696146])"
278,djs,"array([-28.9905842 ,  28.25934868])"
279,jasper,"array([-15.12209587,  43.59319167])"
280,valen,"array([-19.88918272,  58.15742583])"
281,gstein,"array([-33.43509073,  46.13774688])"
282,Toby,"array([-46.79998571,  47.99979891])"
283,bjn,"array([-38.56681985,  58.68383689])"
284,chuck,"array([-33.37666267,  62.81462885])"
285,jwz,"array([-21.85763078,  43.73588787])"
286,parise,"array([-35.74470706,  65.6509842 ])"
287,jpc,"array([-36.07639118,  64.24170769])"
288,dannyobrien,"array([-32.7636852 ,  55.39703682])"
289,imp,"array([-26.38007558,  52.04486441])"
290,avi,"array([-25.40284534,  46.76175231])"
291,lukem,"array([-32.14106367,  49.75434236])"
292,seek3r,"array([-47.96683852,  58.99913276])"
293,rohee,"array([-54.35451429,  56.97054213])"
294,dnm,"array([-41.68802589,  49.74647426])"
295,dugsong,"array([-37.87786769,  47.92292363])"
296,bagder,"array([-34.2414849,  40.9525949])"
297,NetHunter,"array([-18.65354541,  31.80386055])"
298,jwing,"array([ 119.40556924, -254.97351361])"
299,ssheth,"array([-76.43249282, 442.85461806])"
300,timp,"array([-12.2821193 ,  33.49890792])"
301,spong,"array([-0.92207528, 46.24732557])"
302,blizzard,"array([-22.06298681,  38.0344212 ])"
303,msw,"array([-19.78223977,  37.86739483])"
304,johnsonm,"array([-20.31341959,  36.90332146])"
305,Adrian,"array([-19.15574416,  34.8292395 ])"
306,bero,"array([-17.64793455,  24.68417279])"
307,harald,"array([-13.74520339,  25.51772978])"
308,jacobsan,"array([-33.33291227,  60.18710897])"
309,ewan,"array([-27.6774051,  63.7044643])"
310,AArthur,"array([-26.5014958 ,  51.06165126])"
311,cam,"array([-35.32722029,  56.05340379])"
312,riaan,"array([-50.15372679,  81.0581358 ])"
313,prw,"array([-0.74937686, 38.4772508 ])"
314,vlastyn,"array([10.25791711, 32.77712661])"
315,Bryce,"array([-22.06105165,  35.2698812 ])"
316,phaedrus,"array([-19.36862357,  41.61576867])"
317,willy,"array([-20.93434771,  33.68975534])"
318,Maltranar,"array([-8.86110223, 53.64517143])"
319,nwv,"array([-6.78975799, 30.24001225])"
320,xealon,"array([-10.00971693,  30.41722197])"
321,khazad,"array([-23.23296796,  36.84048068])"
322,xach,"array([-19.02293611,  38.08862878])"
323,tigert,"array([-20.07936076,  33.9154204 ])"
324,neo,"array([-14.24784712,  35.19684983])"
325,yosh,"array([-18.13259447,  37.7740405 ])"
326,octobrx,"array([-16.55676175,  40.14105236])"
327,raph,"array([-26.71127984,  35.78686786])"
328,BrucePerens,"array([-25.32852003,  36.26747822])"
329,rjones,"array([-47.33294841,  45.90997203])"
330,amk,"array([-37.8915689 ,  44.45556661])"
331,effbot,"array([-38.92472613,  45.84558147])"
332,fdrake,"array([-41.13897022,  38.68513487])"
333,jhermann,"array([-39.32674636,  39.57682199])"
334,mwh,"array([-36.63599835,  40.43309937])"
335,ShredWheat,"array([-47.09986664,  39.17556532])"
336,4am,"array([-45.53310004,  41.02575377])"
337,avix,"array([ -4.94635959, -21.77873321])"
338,jhyde,"array([-13.46399057,  -4.10864178])"
339,nata,"array([148.13759612, 381.9710744 ])"
340,lantern,"array([15.79294577, 50.51423924])"
341,olle,"array([-9.1168555 , 43.82678761])"
342,radel,"array([-3.66194822, 20.50770862])"
343,jimmac,"array([-17.57055146,  29.97764104])"
344,garrett,"array([-15.79946651,  36.48802398])"
345,hadess,"array([-29.51153182,  28.92839621])"
346,keltor,"array([-56.93406357, 365.99960381])"
347,alex,"array([-24.86834116,  33.31910842])"
348,jamesh,"array([-28.76238763,  31.32317312])"
349,ramiro,"array([-17.36875703,  43.90126289])"
350,pavlov,"array([-17.82417102,  44.58634824])"
351,shaver,"array([-21.67635373,  41.58075757])"
352,davem,"array([-23.48925232,  33.97209142])"
353,maugrim,"array([-101.6345836 , -345.31387995])"
354,aigeek,"array([-20.48833558,  57.03353436])"
355,lucas,"array([-24.97099766,  48.51670445])"
356,Kay,"array([-24.20586259,  50.48968901])"
357,DarkBlack,"array([-17.14005207,  41.93555549])"
358,jmbarry,"array([-32.34537214,  60.82067537])"
359,PhOeNiX,"array([-42.08721174,  79.91508669])"
360,Judith,"array([-13.92398834,  43.41329814])"
361,TheCorruptor,"array([-36.52928031,  41.12943252])"
362,bolsh,"array([-35.84827423,  25.60031392])"
363,kai,"array([-34.63084859,  32.43678494])"
364,ryanc,"array([ -39.46070768, -370.20580543])"
365,choncho101,"array([234.61322676, 321.70251077])"
366,feldmark,"array([ 180.31471607, -185.13517215])"
367,milk,"array([286.74409843, 181.49392109])"
368,jflemer,"array([-75.85969246,  16.34504534])"
369,mcg,"array([-60.93526459,  22.15939415])"
370,asdgray,"array([-70.33163873, 362.00678084])"
371,hominforinvestm,"array([-28.2889947,  54.9836466])"
372,AntonA,"array([-27.50104174,  26.88644829])"
373,mdekkers,"array([-38.14895855,  41.92396471])"
374,todd,"array([-41.92120147,  45.64418023])"
375,footrot,"array([-30.28432872,  49.93933317])"
376,will,"array([-27.85425932,  50.65203156])"
377,Dionys,"array([-30.93287129,  37.7549123 ])"
378,josh,"array([-34.58180241,  50.0880361 ])"
379,renata,"array([-423.83652719,  102.08162578])"
380,Toskinha,"array([-428.21580391,  103.66489176])"
381,seth,"array([ 7.84167682, 67.80399216])"
382,smiha,"array([-61.35225592,   6.58709058])"
383,Lionfire,"array([-13.47566014,  69.91845609])"
384,kuro5hin,"array([-18.76309545,  52.72882733])"
385,toysruss,"array([-2.8127766 , 88.56394851])"
386,Inoshiro,"array([-15.31827618,  53.43925904])"
387,paci,"array([-12.21493075,  38.16817664])"
388,sama,"array([-2.0415538 , 40.78208876])"
389,ciro,"array([-12.25362997,  30.96774131])"
390,cgabriel,"array([-7.98748411, 36.47700923])"
391,panta,"array([-6.0611124, 38.3351462])"
392,eugenia,"array([-6.59551765, 32.33868215])"
393,mperry,"array([-28.49324201,  42.81459406])"
394,AdeL,"array([-219.48650672,  379.32041523])"
395,decouto,"array([-336.52183277,   31.35842012])"
396,Penix,"array([-50.56284362,  28.10554947])"
397,seanegan,"array([-50.02777841,  11.08952958])"
398,chipx86,"array([-37.50676887,  23.85374027])"
399,robilad,"array([-42.51734772,  23.27789214])"
400,lrargerich,"array([-50.12391647,  23.56055113])"
401,ClimbNorth,"array([-65.15043033,  32.34564486])"
402,cTaylor,"array([-43.96459777,  29.83143203])"
403,BattleCat,"array([-65.59401235,  35.03725683])"
404,jpick,"array([-23.89519917,  36.04808232])"
405,mrsbrisby,"array([-53.65828904,  35.38992735])"
406,walpuski,"array([-64.02029675,  27.14810546])"
407,banram,"array([-55.98947888,   8.04299611])"
408,mutiny,"array([-60.35802548,  47.94842803])"
409,satai,"array([-45.76685153,   4.0348141 ])"
410,crahen,"array([-64.73944635,  45.43378053])"
411,whenning,"array([-67.82045559,  26.24881179])"
412,statbanana,"array([-32.92169417,  23.51894649])"
413,gnutizen,"array([-39.56767534,  31.8613219 ])"
414,cthrall,"array([-77.02452683,  25.41629641])"
415,RhysJones,"array([-40.7985438 ,  34.95347087])"
416,miah,"array([-35.27261624,  37.09862652])"
417,mascot,"array([-38.7225485 ,  30.88063731])"
418,Mondragon,"array([-64.51237355,  17.32923751])"
419,MichaelCardenas,"array([-41.05067728,  19.34595781])"
420,allanf,"array([-53.05744475,  19.97283786])"
421,donscarletti,"array([-40.57941128,  20.32284669])"
422,steinm,"array([-28.5912321 ,  62.08461743])"
423,sascha,"array([-31.87190997,  52.45400728])"
424,thies,"array([-31.83818673,  50.52316883])"
425,zeev,"array([-30.57819073,  48.81808013])"
426,kris,"array([-29.03295434,  49.05073087])"
427,marcelo,"array([-20.9967061 ,  26.39818585])"
428,acme,"array([-24.91202322,  26.84895575])"
429,ralsina,"array([-26.42881402,  37.71928095])"
430,riel,"array([-21.50842488,  27.33481745])"
431,bcrl,"array([-22.11870299,  29.9205837 ])"
432,alanr,"array([-19.16412166,  51.25669862])"
433,zab,"array([-21.24980787,  38.42656241])"
434,prumpf,"array([-14.72388032,  26.00797217])"
435,jes,"array([-17.68476893,  31.94568978])"
436,lmb,"array([-21.4330844 ,  35.42325453])"
437,Telsa,"array([-20.30137934,  38.86773803])"
438,chbm,"array([-16.82664066,  33.92813877])"
439,rmk,"array([-19.03674268,  29.18571264])"
440,dwmw2,"array([-25.57471159,  22.00087857])"
441,morcego,"array([-21.9774645 ,  26.68427907])"
442,seklos,"array([-13.95532919,  30.22492877])"
443,roguemtl,"array([-14.16916028,  38.29908239])"
444,axboe,"array([-22.37562762,  30.98041747])"
445,ivan,"array([-10.76595771,  19.99225547])"
446,lowcrash,"array([248.02627195, 316.46924273])"
447,mart,"array([-60.882503  ,  46.93546726])"
448,bradfitz,"array([-51.14663411,  47.48349137])"
449,evan,"array([-54.42802177,  55.34919502])"
450,dormando,"array([-58.24192086,  56.00024795])"
451,revjim,"array([-58.55027434,  50.41924137])"
452,starzz,"array([-40.96876417,  37.757088  ])"
453,Ender,"array([-51.76519133,  32.14708617])"
454,china,"array([-354.7263601 ,  192.04922717])"
455,gjuyn,"array([-4.27246738, 37.112516  ])"
456,rillian,"array([-26.6122406 ,  32.51160917])"
457,g2boojum,"array([ 194.53459639, -261.50576158])"
458,kingja85,"array([226.4034416 , 176.65586758])"
459,Archit,"array([-38.17661012,  21.86406536])"
460,mglazer,"array([-40.75231616,  34.16164178])"
461,brian,"array([-72.16377589,  16.94238194])"
462,Tofu,"array([-52.54612213,  27.15082497])"
463,thepug,"array([-72.80574915,  18.72326173])"
464,nogbogfrog,"array([-71.41845053,  18.14735361])"
465,stric,"array([-20.19787131,  32.42995061])"
466,jonas,"array([-24.28237903,  32.87833869])"
467,notzed,"array([-21.95848886,  31.53025656])"
468,dyork,"array([-29.99739767,  38.77012068])"
469,zach,"array([16.39000436, 44.95353486])"
470,jaz147,"array([-13.74328286,  31.39545146])"
471,dmz,"array([ 3.13852777, 51.061978  ])"
472,JZig,"array([-53.80216743,  40.33117446])"
473,stargazer,"array([-31.75027854,  55.18676409])"
474,fra,"array([-6.35922035, 31.21047804])"
475,tdat,"array([13.36876142, 51.79588216])"
476,yelvington,"array([11.88423602, 55.30539152])"
477,danny,"array([-7.36987753, 64.09655286])"
478,LazyJones,"array([-7.54497845, 50.62153381])"
479,jeremyw,"array([-30.11020772,  52.52530365])"
480,listen,"array([-19.0491305 ,  35.81302054])"
481,mrw,"array([11.84397736, 50.86334898])"
482,sxw,"array([16.63369216, 42.98553305])"
483,wildmage,"array([10.34225662, 54.04348942])"
484,automaton,"array([-8.7579625 , 67.15925237])"
485,dwheeler,"array([-10.0097903 ,  25.48355702])"
486,adduncan,"array([15.56501886, 46.75352305])"
487,billlyjoeray,"array([-15.3380128 ,  38.99666671])"
488,djweis,"array([-9.44262456, 62.11695051])"
489,verbal,"array([-2.2559165 , 21.18576685])"
490,tim,"array([-16.00910521,  27.47725371])"
491,jdub,"array([-32.00938502,  30.06329553])"
492,abw,"array([-11.96571574,  70.81643448])"
493,nettrom,"array([13.22514037, 47.64005627])"
494,pawal,"array([-34.21429624,  35.3116212 ])"
495,sabren,"array([13.11494379, 53.7898888 ])"
496,wainstead,"array([-40.62873348,  45.22310629])"
497,gregorsamsa,"array([-18.43403609,  39.55931495])"
498,Surfr,"array([-10.45940113,  38.13255259])"
499,HiroProtagonist,"array([-45.81099973,  34.94191411])"
500,rakholh,"array([-25.02594332,  38.40744051])"
501,adamsc,"array([13.75420921, 49.95751809])"
502,ali,"array([-32.86553406,  43.72532987])"
503,gallen,"array([-3.40245075, 55.24079144])"
504,jra,"array([-3.91667634, 60.34616309])"
505,hpa,"array([-22.04030378,  34.45128781])"
506,chroma,"array([-10.76492792,  61.33356967])"
507,leon,"array([-20.70332755,  61.40073206])"
508,jda,"array([ 6.64310968, 41.1603488 ])"
509,nny,"array([-13.83243514,  48.30457368])"
510,jrb,"array([-23.27443633,  31.22206837])"
511,rbrady,"array([-15.79738382,  34.77648419])"
512,malcolm,"array([-28.47322629,  30.77714853])"
513,gilbertt,"array([-19.60325337,  31.63151088])"
514,harinath,"array([-9.88963056, 35.49280723])"
515,Rhys,"array([-34.05078239,  36.14771562])"
516,rossigee,"array([-28.31939642,  37.72200224])"
517,neale,"array([-34.10551919,  46.79257427])"
518,i0lanthe,"array([-37.35667122,  50.85680238])"
519,cronosII,"array([ 9.8925469 , 55.88361797])"
520,johnmeacham,"array([-26.67753786,  74.43176899])"
521,walters,"array([-27.42837012,  30.4080127 ])"
522,gleblanc,"array([-25.73741947,  33.51812976])"
523,MikeGTN,"array([-28.74026912,  38.18258664])"
524,jfleck,"array([-29.09785774,  33.33191466])"
525,pfh,"array([-29.5520975 ,  31.04583993])"
526,charlie,"array([-8.56679159, 58.14478463])"
527,voltron,"array([-29.03492945,  41.39352089])"
528,UnNamed,"array([ 0.11788181, 37.53769237])"
529,Wilddev,"array([-16.34151647,  30.37207987])"
530,nzkoz,"array([-30.31640402,  34.56337877])"
531,gdvieira,"array([-30.00184309,  21.78917449])"
532,misa,"array([-25.42882764,  31.79248665])"
533,pop,"array([-28.93947943,  60.28327625])"
534,garett,"array([ 1.62972133, 57.46362346])"
535,mdz,"array([-21.69860928,  32.26879078])"
536,ts,"array([-0.34154632, 51.72104335])"
537,ahvezda,"array([-20.07559093,  46.79915352])"
538,geekd,"array([-16.55786142,  69.65937278])"
539,sab39,"array([-36.52232258,  42.1103343 ])"
540,mrbook,"array([-38.36231064,  45.17879413])"
