# index, label, value, _pos
32,The Death of Right and Wrong,c,"array([-16.59469852,  -0.65784009])"
33,Useful Idiots,c,"array([-16.60177446,  -0.55714549])"
34,The O'Reilly Factor,c,"array([-16.33054447,  -0.57872764])"
35,Let Freedom Ring,c,"array([-16.46925813,  -0.71775988])"
36,Those Who Trespass,c,"array([-16.38949388,  -0.76738509])"
37,Bias,c,"array([-16.47686036,  -0.58318539])"
38,Slander,c,"array([-16.51522405,  -0.50159666])"
39,The Savage Nation,c,"array([-16.51256871,  -0.6511121 ])"
40,Deliver Us from Evil,c,"array([-16.71872769,  -0.8533221 ])"
41,Give Me a Break,c,"array([-16.58061143,  -0.88721513])"
42,The Enemy Within,c,"array([-16.46471829,  -0.89353274])"
43,The Real America,c,"array([-16.49926182,  -0.98985162])"
44,Who's Looking Out for You?,c,"array([-16.50625533,  -0.82223169])"
45,The Official Handbook Vast Right Wing Conspiracy,c,"array([-16.66166174,  -0.98636931])"
46,Power Plays,n,"array([-16.65799229,  -1.10902562])"
47,Arrogance,c,"array([-16.62526571,  -0.81681329])"
48,The Perfect Wife,n,"array([-16.87838679,  -1.21554029])"
49,The Bushes,c,"array([-17.06326694,  -1.21622498])"
50,Things Worth Fighting For,c,"array([-17.07250453,  -0.99873679])"
51,"Surprise, Security, the American Experience",n,"array([-17.33667699,  -0.92818759])"
52,Allies,c,"array([-17.19929104,  -0.91715039])"
53,Why Courage Matters,c,"array([-16.92701504,  -1.11703044])"
54,Hollywood Interrupted,c,"array([-16.55489912,  -0.74487924])"
55,Fighting Back,c,"array([-16.89517978,  -0.55262783])"
56,We Will Prevail,c,"array([-16.73325377,  -1.06112964])"
57,The Faith of George W Bush,c,"array([-16.77159333,  -1.18712698])"
58,Rise of the Vulcans,c,"array([-17.32343856,  -1.08077802])"
59,Downsize This!,l,"array([-17.27009555,  -2.0343519 ])"
60,Stupid White Men,l,"array([-17.43584405,  -1.92156893])"
61,Rush Limbaugh Is a Big Fat Idiot,l,"array([-17.12489661,  -1.9245261 ])"
62,The Best Democracy Money Can Buy,l,"array([-17.3325254 ,  -1.92007995])"
63,The Culture of Fear,l,"array([-17.39769496,  -2.05712616])"
64,America Unbound,l,"array([-17.44787073,  -1.11022713])"
65,The Choice,l,"array([-17.52788712,  -1.0280594 ])"
66,The Great Unraveling,l,"array([-17.42260819,  -1.49330782])"
67,Rogue Nation,l,"array([-17.63950426,  -1.21765962])"
68,Soft Power,l,"array([-17.57553373,  -1.12524322])"
69,Colossus,n,"array([-17.56307974,  -0.93440459])"
70,The Sorrows of Empire,l,"array([-17.3824684 ,  -1.29819407])"
71,Against All Enemies,l,"array([-17.45035455,  -1.35371234])"
72,American Dynasty,l,"array([-17.36995384,  -1.46008353])"
73,Big Lies,l,"array([-17.32456632,  -1.59400403])"
74,The Lies of George W. Bush,l,"array([-17.37388215,  -1.54436973])"
75,Worse Than Watergate,l,"array([-17.41478943,  -1.41742161])"
76,Plan of Attack,n,"array([-17.22910013,  -1.40108468])"
77,Bush at War,c,"array([-17.2354389 ,  -1.19485933])"
78,The New Pearl Harbor,l,"array([-17.53110849,  -1.3432861 ])"
79,Bushwomen,l,"array([-17.49717345,  -1.50186191])"
80,The Bubble of American Supremacy,l,"array([-17.60623347,  -1.39068421])"
81,Living History,l,"array([-17.62979284,  -1.66977825])"
82,The Politics of Truth,l,"array([-17.29136224,  -1.46472282])"
83,Fanatics and Fools,l,"array([-17.45110763,  -1.5732831 ])"
84,Bushwhacked,l,"array([-17.40123012,  -1.64593941])"
85,Disarming Iraq,l,"array([-17.44150839,  -1.20595207])"
86,Lies and the Lying Liars Who Tell Them,l,"array([-17.35981018,  -1.68881312])"
87,MoveOn's 50 Ways to Love Your Country,l,"array([-17.45589296,  -1.72221542])"
88,The Buying of the President 2004,l,"array([-17.59191971,  -1.57749944])"
89,Perfectly Legal,l,"array([-17.52305336,  -1.64691289])"
90,Hegemony or Survival,l,"array([-17.2387794 ,  -1.57429387])"
91,The Exception to the Rulers,l,"array([-17.22094356,  -1.50668702])"
92,Freethinkers,l,"array([-17.61828905,  -1.49395895])"
93,Had Enough?,l,"array([-17.14758537,  -1.5902997 ])"
94,"It's Still the Economy, Stupid!",l,"array([-17.12105165,  -1.71168764])"
95,We're Right They're Wrong,l,"array([-17.00353598,  -1.73469803])"
96,What Liberal Media?,l,"array([-17.3899796 ,  -1.79197318])"
97,The Clinton Wars,l,"array([-17.53832979,  -1.76267013])"
98,Weapons of Mass Deception,l,"array([-17.21439386,  -1.71529507])"
99,"Dude, Where's My Country?",l,"array([-17.31342029,  -1.76286936])"
100,Thieves in High Places,l,"array([-17.29210982,  -1.68747872])"
101,Shrub,l,"array([-17.21497706,  -1.84137315])"
102,Buck Up Suck Up,l,"array([-16.88308151,  -1.50951598])"
103,The Future of Freedom,n,"array([-17.89516493,  -1.13774036])"
104,Empire,n,"array([-17.78915146,  -1.02198536])"
